participantid_in_session,participantcode,participanttime_started,participantpayoff,id,playersubsession_id,playergroup_id,playerpayoff,groupid_in_subsession,groupe_g,groupshockround,control,groupcheckr,grouphistoryc1,grouphistoryc2,grouphistoryr1,grouphistoryr2,grouppayoff1,grouppayoff1f,groupcheckpayoff1f,grouppayoff2,grouprpayoff1,grouppayoff_p1,grouppayoff_p2,groupsubsession_id,Period,sessioncode,sessionlabel,sessionexperimenter_name,sessionmturk_HITId,sessionmturk_HITGroupId,sessioncomment,sessionis_demo,playerbomb,playerbomb_row,playerbomb_col,playerboxes_collected,playerpay_this_round,playerround_result,playeraccept_info,playergender,playerage,playernationality,playerstudies,playerworkexperience,playerdegree,playerenglish,playerund1,playerund2,playerund3,playerund4,playerclear1,playerclear2,playerclear3,playerenjoy1,playerenjoy2,playerenjoy3,playercons1,playercons2,playercons3,playercons4,playerchange1,playerchange2,playerchange3,playerchange4,playerchange5,playerchange6,playerchange7,playerchange8,playerchange9,playerchange10,playerchange11,playerchange12,playerchange13,playerchange14,playerchange15,playerchange16,playerchange17,playerindi1,playerindi2,playerindi3,playerindi4,playerindi5,playerindi6,playerindi7,playerindi8,playerindi9,playerindi10,playerindi11,playerindi12,playerindi13,playerindi14,playerindi15,playerbig1,playerbig2,playerbig3,playerbig4,playerbig5,playerbig6,playerbig7,playerbig8,playerbig9,playerbig10,playeric1,playeric2,playeric3,playeric4,playeric5,playeric6,playeric7,playeric8,playeric9,playeric10,playerpnfs1,playerpnfs2,playerpnfs3,playerpnfs4,playerpnfs5,playerpnfs6,playerpnfs7,playerpnfs8,playerpnfs9,playerpnfs10,playerpnfs11,playertrust1,playertrust2,playertrust3,playertrust4,playertrust5,playertrust6,playertrust7,playertrust8,playertrust9,playertrust10,playertrust11,playergrf1,playergrf2,playergrf3,playergrf4,playergrf5,playergrf6,playergrf7,playergrf8,playergrf9,playergrf10,playergrf11,playergrf12,playergrf13,playergrf14,playergrf15,playergrf16,playergrf17,playergrf18,Principal,Agent,choice_history,result_history,history,four_shock,five_shock,six_shock,seven_shock,eight_shock,nine_shock,ten_shock,late_shock,late_shock2,Post_four,Post_five,Post_six,Post_seven,Post_eight,Post_nine,Post_ten,Post,eh,el,LH,mean_control,HL,idn,Session,trustworthy,response,self_interest,self_i_response,mean_history_pre,mean_history_pre_r,mean_history_pre_t,focus_rounds,mean_history_focus,mean_history_post,mean_history_post_r,mean_history_post_t,mean_history,mean_history_r,mean_history_t,av_self_interest_pre,av_self_interest,Period1,Period2,Period3,Period4,Period5,Period6,Period7,Period8,Period9,Period10,Period11,Period12,Post_LH,LH_late_shock,Post_late_shock,Post_LH_late_shock,Post_el,Post_eh,RegulFocus,PrevFocus,PromoFocus,PNFS,PNFS2,NFS,RTS,playertrust,Extraversion,Agreeableness,Conscientiousness,EmoStability,OpennessExp,NoUnd,consider,UpwardShock,DownwardShock,control_pre,control_post,trust_pre,trust_post,trust_change,response_pre2,response_post2,response_self_pre,response_self_post,trust_pre2,trust_post2,control_pre2,control_post2,control_change,control_change2,abs_control_change,abs_control_change2,one_control_change,high_history_pre,totalpayoff,totaleur,dum_control,diff_payoff,tot_payoff,payoff_p1,payoff_p2,av_tot_payoff,av_control,av_trust,av_diff_payoff,payoff_p1_pre,payoff_p1_post,abs_payoff_p1_diff,payoff_p1_diff,payoff_p2_pre,payoff_p2_post,abs_payoff_p2_diff,payoff_p2_diff,payoff_t_pre,payoff_t_post,abs_payoff_t_diff,payoff_t_diff,GroupT,GroupT2,_est_early,_est_late,selection,mean_history_comp,controlsplit,av2_control,me2_control,shocktiming,controlpr,shocktimemore
2,aph4bw09,2018-05-02 15:06:25.937196+00:00,93.09999999999999,2,4,176,6,11,Low,7,.9,1,0,0,0,0,5,5,1,15,14,13.1,6,4,4,6gnxyx9b,Session 7,Low,,,,0,1,8,9,37,1,0,1,2,19,1,1,5,1,65,2,3,1,1,6,3,2,4,4,.33333334,.16666667,5,2,6,2,5,4,4,2,2,4,3,2,3,3,3,3,6,2,3,3,4,3,3,4,5,3,3,4,3,3,4,4,3,3,3,5,3,6,6,4,4,6,6,4,5,2,6,4,4,5,2,5,2,5,4,4,4,4,5,4,5,3,3,3,5,5,4,6,5,4,5,5,6,3,5,4,6,3,2,5,5,4,5,3,4,2,2,4,6,6,5,5,6,4,5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Pre-change,0,1,Low-to-High,.75340909,0,53,2,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.2222223,3.5555556,4.8888888,4.0999999,4.090909,4,4.0999999,4.818182,4.5,4.5,6,5,4.5,0,.55555558,0,0,,,0,0,0,,,,,,,,,,,,,,,93.099998,5.586,0,7.0999999,19.1,8.5574999,7.7583332,16.315834,.72416669,0,.79916668,,,,,,,,,,,,,1,0,0,0,0,,Low,.76999998,.89999998,Later Changes,.83999997,0
24,avjia1be,2018-04-30 15:06:22.591429+00:00,128.5,2,28,719,9,11,Low,6,.6,1,1,0,0,0,5,5,1,15,14,10.4,9,28,4,lwtt3tip,Session 3,Low,,,,0,0,8,2,30,1,21,1,1,19,1,1,5,1,85,2,5,1,2,7,1,1,6,6,.5,1,5,1,7,2,4,4,4,2,5,2,4,6,1,2,2,6,6,2,3,3,3,2,4,3,6,6,5,2,3,3,6,2,2,2,4,6,5,4,7,6,3,7,3,6,3,3,7,2,7,4,2,5,5,2,2,6,1,6,2,4,6,5,2,5,5,6,5,2,5,2,1,6,6,6,2,2,2,5,6,6,5,5,6,6,4,4,6,5,6,5,6,6,6,6,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre-change,0,1,Low-to-High,.75340909,0,54,4,0,0,1,1,.5,0,.25,0,,.33333334,.33333334,.33333334,.41666666,.16666667,.29166666,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,5.3333335,5.6666665,4.4000001,4.3636365,4.25,4.4000001,3.5454545,4.5,6,3.5,6.5,4.5,0,.55555558,0,0,,,0,.40000001,.40000001,,,,,,,,,,,,,,,128.5,7.71,0,1.4,19.4,8.8516665,8.958333,17.809999,.51083332,.168625,-.10666656,,,,,,,,,,,,,1,0,0,0,0,,Low,.76999998,.89999998,Earlier Changes,.83999997,Earlier Changes
9,b9hl6oga,2018-05-02 15:06:26.053699+00:00,141.8,1,4,167,14,2,Low,9,1,1,0,0,0,0,,,,,14,14,5,4,4,6gnxyx9b,Session 7,Low,,,,0,0,6,5,9,1,6.3,1,1,19,1,1,6,1,70,1,3,2,2,7,1,1,4,6,.66666669,1,4,1,1,3,3,6,6,2,6,4,2,1,2,2,6,6,6,5,3,6,3,2,6,1,6,5,7,3,6,1,6,2,4,6,1,3,2,2,1,2,2,2,6,2,2,6,4,2,1,5,2,1,5,7,2,5,3,2,2,4,5,3,5,3,2,4,6,5,2,2,2,2,6,6,6,5,2,5,1,6,1,6,2,4,7,3,2,2,6,6,5,1,3,4,5,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,Pre-change,0,1,Low-to-High,.75340909,0,55,2,,1,,,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.8333333,2.7777777,4.8888888,3.4000001,3.4545455,2.75,3.4000001,4,2.5,2,4,1.5,2,0,.16666667,0,0,1,.875,,,,1,.75,,1,,0,1,1,-.125,0,.125,0,.125,0,141.8,8.5080004,1,9,19,11.291667,5.4166665,16.708334,.95833331,0,5.8750005,14,5.875,8.125,-8.125,5,6.25,1.25,1.25,19,12.125,6.875,-6.875,1,0,0,0,0,,High,.76999998,.89999998,Later Changes,.83999997,Later Changes
6,cseo96i5,2018-04-30 11:05:51.973077+00:00,70.55,2,4,169,9.75,4,Low,10,.5,1,0,0,0,0,5.51,5.51,1,14.49,14,9.76,9.75,4,4,grz7n60z,Session 1,Low,,,,0,1,4,9,60,1,0,1,1,19,1,2,7,1,90,2,3,1,2,6,2,2,6,1,0,.33333334,2,2,5,4,6,6,4,4,2,3,4,4,3,4,5,2,3,6,6,6,4,5,6,1,6,5,4,6,4,1,5,2,2,1,1,2,2,7,3,2,3,6,6,6,2,3,5,3,6,6,2,5,4,5,6,5,3,5,4,6,5,6,5,6,5,4,5,3,5,3,3,5,4,5,3,5,3,5,3,5,3,6,6,2,2,2,5,4,2,1,5,5,6,4,4,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,Pre-change,0,1,Low-to-High,.75340909,0,61,3,.050999999,.050999999,.949,.949,.2,0,.1,0,,0,.14285715,.071428575,.083333336,.083333336,.083333336,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.8888888,3.3333333,4.4444447,4.8000002,4.909091,5.25,4.8000002,4,2.5,4,6.5,4.5,2,0,.33333334,0,0,,,0,1,1,,,,,,,,,,,,,,,70.550003,4.2330003,0,.0099999998,19.51,8.7191668,5.8791666,14.598333,.90249997,.15014286,2.8400002,,,,,,,,,,,,,1,0,0,0,0,,Low,.76999998,.89999998,Later Changes,.83999997,Later Changes
20,d1ou8m20,2018-05-03 07:06:15.035320+00:00,90.5,2,4,160,5,10,High,4,1,1,0,0,0,0,,,,,6,6,5,4,4,n1mnaei9,Session 8,Low,,,,0,1,4,8,45,1,0,1,1,20,1,1,7,1,90,2,6,1,1,5,2,5,5,3,.16666667,0,3,1,7,3,5,2,3,1,2,5,5,2,5,5,5,3,5,3,6,5,3,5,3,3,5,6,6,2,7,1,5,2,1,2,5,7,3,7,7,5,7,6,7,7,3,3,6,5,6,5,2,5,3,5,6,5,3,6,6,5,5,7,3,5,5,5,5,3,5,3,3,5,4,7,3,6,7,3,3,5,1,6,7,1,7,3,3,1,7,1,5,5,6,5,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Post-change,1,0,Low-to-High,.75340909,0,63,5,,1,,,0,0,0,1,,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.1666665,2.3333333,6,5,5,5.5,5,4.6363635,7,4.5,7,7,4,0,.44444445,1,0,,,0,,,,,,,,,,,,,,,,,90.5,5.4299998,1,1,11,7.7525001,7.5416665,15.294167,.74583334,0,.21083355,,,,,,,,,,,,,2,0,0,0,1,0,High,.76999998,.89999998,Earlier Changes,.63999999,Earlier Changes
18,dagp9709,2018-04-30 11:05:52.088004+00:00,112.25,2,4,171,5,6,Low,5,1,1,0,0,0,0,,,,,14,14,5,4,4,grz7n60z,Session 1,Low,,,,0,0,3,5,30,1,21,1,2,20,1,1,6,1,65,2,5,1,1,3,5,5,4,3,.33333334,.66666669,2,7,6,3,2,5,5,3,2,2,5,4,2,5,2,3,3,6,6,5,4,5,5,1,5,5,4,5,5,5,3,2,1,2,4,5,4,6,5,6,5,6,6,5,5,3,5,3,5,3,5,6,2,5,6,5,3,6,7,5,2,5,2,4,3,7,5,2,6,2,5,5,2,5,2,4,2,3,2,7,3,6,6,5,5,5,5,5,6,4,6,6,7,6,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre-change,0,1,Low-to-High,.75340909,0,64,3,,1,,,.16666667,0,.083333336,0,,0,0,0,.083333336,0,.041666668,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0555553,4.2222223,5.8888888,4.4000001,4.4545455,5.5,4.4000001,3.6363637,5,5,6,5,5.5,0,.66666669,0,0,,,0,.244,.244,,,,,,,,,,,,,,,112.25,6.7350001,1,9,19,9.0708332,7.6041665,16.674999,.67833334,.12171429,1.4666667,,,,,,,,,,,,,1,0,0,0,1,.083333336,High,.76999998,.89999998,Earlier Changes,.83999997,Earlier Changes
17,db4oe9eu,2018-05-03 07:06:15.023742+00:00,167.29,1,4,153,11.75,3,Low,10,.75,1,0,1,0,0,5,5,1,15,14,11.75,7.5,4,4,n1mnaei9,Session 8,Low,,,,0,0,10,8,50,1,35,1,2,19,1,2,6,1,70,1,3,2,2,5,4,5,4,4,.66666669,.16666667,6,5,1,4,7,3,2,4,5,4,5,4,4,5,4,4,2,6,7,7,3,7,4,1,5,6,1,4,5,3,5,3,1,2,5,7,3,5,6,4,7,6,7,3,4,4,6,2,6,6,3,4,2,6,5,5,5,7,6,7,2,6,4,5,6,6,2,3,5,2,3,3,2,2,1,3,3,5,3,5,1,6,5,3,4,5,5,3,7,4,5,5,6,6,5,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,Pre-change,0,1,Low-to-High,.75340909,0,65,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.91342854,.90522224,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.6111112,3.7777777,5.4444447,5.1999998,5.3636365,6.25,5.1999998,2.6363637,7,4.5,6,4.5,4,0,.5,0,0,.8433333,.96333331,,,,.28955555,.41566667,.91342854,.87650001,.086571425,.1235,.89999998,.99000001,.12,.090000033,.12,.090000033,-.12,0,167.28999,10.037399,0,4.25,19.25,11.024167,6.1758332,17.200001,.87333333,.094777778,4.8483338,12.683333,6.0466666,6.6366668,-6.6366668,6.4733334,5.2833333,1.1900001,-1.1900001,19.156668,11.33,7.8266678,-7.8266678,1,0,0,0,0,,Low,.76999998,.89999998,Later Changes,.83999997,Later Changes
12,e8x16iib,2018-04-30 15:06:22.422131+00:00,113.1,2,28,714,11,6,Low,6,.4,1,0,0,0,0,5,5,1,15,14,8.6,11,28,4,lwtt3tip,Session 3,Low,,,,0,0,10,3,24,1,16.8,1,1,20,1,1,7,1,80,2,3,1,2,7,1,1,5,5,.66666669,1,7,1,1,1,2,5,2,1,5,5,5,1,4,2,5,1,3,5,5,6,4,3,5,1,6,6,1,6,5,1,3,3,1,2,3,6,2,5,5,5,5,5,3,5,2,3,6,1,6,7,2,6,1,3,6,5,3,3,5,4,3,2,3,5,3,2,5,6,6,6,5,6,6,5,6,6,3,1,2,5,1,3,3,1,2,5,2,2,7,3,5,3,6,6,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre-change,0,1,Low-to-High,.75340909,0,68,4,0,0,1,1,.16666667,0,.083333336,0,,.16666667,0,.083333336,.16666667,0,.083333336,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4444444,2.2222223,4.6666665,3.4000001,3.4545455,4.25,3.4000001,5.4545455,5.5,3.5,4,5,3.5,0,.33333334,0,0,,,0,0,0,,,,,,,,,,,,,,,113.1,6.7859998,0,2.4000001,19.6,8.4641666,8.0249996,16.489166,.69749999,0,.43916702,,,,,,,,,,,,,1,0,0,0,0,,Low,.76999998,.89999998,Earlier Changes,.83999997,Earlier Changes
14,epzom4ri,2018-04-30 15:06:22.331535+00:00,102.4,2,28,710,5,2,Low,8,1,1,0,0,1,0,,,,,14,14,5,28,4,lwtt3tip,Session 3,Low,,,,0,0,10,4,15,1,10.5,1,1,20,1,1,1,1,85,2,3,1,1,6,2,5,5,6,.83333331,1,6,2,7,5,7,5,2,3,5,5,6,5,5,5,3,4,4,4,5,6,5,1,1,3,2,5,5,1,6,4,7,3,1,1,5,1,2,5,4,2,1,3,7,3,3,5,3,6,4,3,1,4,3,1,4,7,6,6,6,3,7,7,5,6,7,6,3,3,5,3,3,3,4,2,1,2,2,6,5,3,2,5,3,5,5,3,4,5,4,4,4,6,4,5,2,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,Pre-change,0,1,Low-to-High,.75340909,0,72,4,,1,,,0,0,0,0,,.16666667,0,.083333336,.083333336,0,.041666668,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.1666665,4.4444447,3.8888888,6.3000002,6,5.25,6.3000002,2.8181818,1,2.5,6,3.5,2.5,0,.66666669,0,0,,,0,0,0,,,,,,,,,,,,,,,102.4,6.1440001,1,9,19,9.0341663,7.6583333,16.692499,.73416668,0,1.375833,,,,,,,,,,,,,1,0,0,0,0,,High,.76999998,.89999998,Later Changes,.83999997,Later Changes
15,fjtavfd2,2018-04-30 15:06:22.377770+00:00,136,1,28,715,14,7,Low,9,1,1,0,0,0,0,,,,,14,14,5,28,4,lwtt3tip,Session 3,Low,,,,0,1,2,10,70,1,0,1,1,20,1,1,1,1,100,1,3,2,2,7,1,2,5,2,.16666667,0,1,1,1,2,7,6,1,1,7,5,5,5,5,4,5,4,1,6,5,6,7,3,6,7,7,6,1,6,2,1,6,2,1,1,6,1,7,1,7,5,1,6,4,7,1,1,6,4,6,4,2,7,2,1,6,6,1,7,2,1,7,7,6,7,7,7,5,1,6,1,7,1,7,5,3,4,1,7,6,1,7,6,1,6,1,5,6,7,5,7,5,5,7,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,Pre-change,0,1,Low-to-High,.75340909,0,74,4,,1,,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.6666665,6.2222223,3.1111112,5.6999998,5.2727275,4.25,5.6999998,3.7272727,1,6.5,2.5,7,3,0,0,0,0,1,1,,,,1,1,,,,,1,1,0,0,0,0,0,0,136,8.1599998,1,9,19,11.333333,5,16.333334,1,,6.333333,14,6,8,-8,5,5,0,0,19,11,8,-8,1,0,0,0,0,,High,.76999998,.89999998,Later Changes,.83999997,Later Changes
14,fvo2dtv9,2018-05-03 07:06:14.867445+00:00,70.8,2,4,159,7.5,9,Low,9,.75,1,0,0,1,0,5,5,1,15,14,11.75,7.5,4,4,n1mnaei9,Session 8,Low,,,,0,1,3,6,50,1,0,1,1,20,1,2,7,1,80,2,5,1,1,7,1,2,4,1,.5,1,1,1,1,2,2,1,5,1,1,2,1,1,2,2,2,2,2,4,3,6,6,6,6,2,7,7,1,6,5,1,2,1,1,1,2,6,3,6,7,6,6,4,6,6,6,1,7,2,6,6,5,6,1,2,6,2,2,3,4,5,2,2,1,2,3,2,4,5,4,3,4,5,5,6,6,6,6,6,2,5,2,4,6,1,5,2,1,1,5,1,4,6,6,6,6,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,Pre-change,0,1,Low-to-High,.75340909,0,77,5,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.8333333,2.4444444,5.2222223,2.3,2.5454545,3.5,2.3,4.909091,6,3.5,6,6.5,6,0,0,0,0,,,0,0,0,,,,,,,,,,,,,,,70.800003,4.2480001,0,4.25,19.25,10.116667,5.9000001,16.016666,.91000003,0,4.2166667,,,,,,,,,,,,,1,0,0,0,0,,Low,.76999998,.89999998,Later Changes,.83999997,Later Changes
8,gviyrmk9,2018-05-02 15:06:26.052920+00:00,99,2,4,170,5,5,Low,8,1,1,0,0,0,0,,,,,14,14,5,4,4,6gnxyx9b,Session 7,Low,,,,0,1,5,6,40,1,0,1,1,21,1,1,3,1,90,2,3,1,1,7,1,1,1,1,0,1,1,1,1,3,4,3,4,1,4,4,2,4,4,3,6,4,1,7,7,4,4,5,5,1,7,6,1,5,4,1,1,2,2,1,1,3,2,4,7,5,3,3,3,3,5,2,6,4,4,4,4,4,4,4,6,6,2,4,4,4,5,5,2,4,4,6,3,5,5,3,3,1,2,3,2,6,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,Pre-change,0,1,Low-to-High,.75340909,0,80,2,,1,,,0,.16666667,.083333336,0,,0,.16666667,.083333336,0,.16666667,.083333336,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.1666666,1,1.3333334,4.1999998,4.181818,4,4.1999998,3.090909,3,2.5,3.5,5,5,0,0,0,0,,,0,0,0,,,,,,,,,,,,,,,99,5.9400001,1,9,19,8.8483334,8.25,17.098333,.67500001,0,.59833336,,,,,,,,,,,,,1,0,0,0,0,,High,.76999998,.89999998,Later Changes,.83999997,Later Changes
18,gzntn5oz,2018-05-03 07:06:14.987525+00:00,77.79000000000001,2,4,152,9,2,High,4,.5,1,0,0,0,0,7,7,1,13,6,6.5,9,4,4,n1mnaei9,Session 8,Low,,,,0,1,5,2,35,1,0,1,1,20,1,1,6,1,90,2,3,1,1,7,2,2,6,5,.83333331,.66666669,6,6,7,2,1,4,2,2,2,4,5,2,3,4,2,2,6,1,3,3,4,2,3,3,6,5,7,1,1,4,6,5,1,3,6,6,4,5,7,5,6,6,7,6,5,5,7,2,7,5,2,6,6,3,1,5,2,6,5,5,5,4,2,4,5,6,5,6,5,4,5,6,5,5,5,6,7,2,5,6,2,6,6,3,5,4,4,2,6,2,5,6,7,6,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Post-change,1,0,Low-to-High,.75340909,0,81,5,.2,.2,.80000001,.80000001,.75,0,.375,1,,.75,0,.375,.75,0,.375,,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.6111112,3.3333333,5.8888888,4.4000001,4.4545455,5,4.4000001,5.3636365,6,5,6,6.5,5,0,.8888889,1,0,,,.16666667,.102,-.064666674,,,,,,,,,,,,,,,77.790001,4.6673999,0,2.5,15.5,8.1274996,6.4825001,14.61,.82999998,.13225,1.6449995,,,,,,,,,,,,,2,0,0,0,1,.375,Low,.76999998,.89999998,Earlier Changes,.63999999,Earlier Changes
5,hukums5i,2018-05-02 15:06:25.951269+00:00,94.28,1,4,172,14,7,Low,5,0,1,0,0,0,0,14,14,1,6,14,14,6,4,4,6gnxyx9b,Session 7,Low,,,,0,1,4,10,30,1,0,1,1,20,3,2,5,2,80,1,3,2,2,5,3,3,6,5,1,0,7,6,5,3,5,5,5,3,3,5,5,3,5,5,5,6,5,5,6,5,3,5,3,6,5,5,3,2,5,5,5,5,6,5,5,2,3,6,6,3,2,5,3,5,3,3,5,6,5,5,5,3,2,2,3,6,5,3,5,5,6,7,5,3,4,6,2,2,6,2,1,2,3,4,1,3,1,6,5,7,2,7,6,7,7,5,6,3,6,6,6,7,6,6,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre-change,0,1,Low-to-High,.75340909,0,83,2,.89999998,.89999998,.1,.1,0,.25,.125,0,.16666667,.125,.125,.125,.083333336,.16666667,.125,.53333336,.81,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7777777,5.2222223,6.3333335,5,5,4,5,2.4545455,2,4,4.5,5.5,3,0,.83333331,0,0,.38,.2,,,,.60000002,.1875,.53333336,.9285714,.46666667,.071428575,.25999999,0,-.17999999,-.25999999,.17999999,.25999999,.17999999,0,94.279999,5.6567998,0,8,20,7.8566666,10.816667,18.673334,.25999999,.19,-2.96,11.92,5.8249998,6.0950003,-6.0950003,7.6999998,12.375,4.6750002,4.6750002,19.619999,18.200001,1.4199982,-1.4199982,1,0,0,0,1,.125,Low,.76999998,.89999998,Earlier Changes,.83999997,Earlier Changes
6,hyo3fwk1,2018-04-30 15:06:22.322565+00:00,73.67,2,28,715,5,7,Low,9,1,1,0,0,0,0,,,,,14,14,5,28,4,lwtt3tip,Session 3,Low,,,,0,1,1,1,50,1,0,1,2,20,1,1,7,1,85,2,3,1,1,6,2,2,4,3,.33333334,.33333334,6,7,1,3,3,2,4,2,3,4,4,3,2,4,2,3,5,2,3,3,5,4,5,4,3,3,5,3,3,5,5,5,2,2,5,3,3,5,3,5,3,5,5,5,3,3,5,4,5,3,2,4,5,5,5,4,4,5,3,3,4,4,2,4,3,5,5,3,5,5,3,6,5,6,5,3,3,4,5,6,6,4,5,5,3,5,6,3,5,6,3,6,6,5,5,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,Pre-change,0,1,Low-to-High,.75340909,0,84,4,,1,,,0,.14285715,.071428575,0,,.40000001,0,.2,.16666667,.083333336,.125,,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.8888888,5.1111112,4.6666665,3.8,3.7272727,3.75,3.8,4.4545455,3,4,5,4,4,0,.6111111,0,0,,,0,.6965,.6965,,,,,,,,,,,,,,,73.669998,4.4201999,1,9,19,10.081667,6.1391668,16.220833,.8125,.41014287,3.9425001,,,,,,,,,,,,,1,0,0,0,0,,High,.76999998,.89999998,Later Changes,.83999997,Later Changes
5,itznwhp6,2018-04-30 11:05:51.959018+00:00,143.09,1,4,172,10.4,7,Low,5,.6,1,0,0,0,0,5,5,1,15,14,10.4,9,4,4,grz7n60z,Session 1,Low,,,,0,0,5,4,67,1,46.9,1,2,20,1,2,7,1,90,1,3,2,2,6,4,2,4,4,.33333334,.83333331,7,7,1,1,2,3,3,1,2,5,6,2,5,3,3,5,5,3,6,3,3,3,2,5,7,5,6,2,2,5,6,2,2,2,5,5,3,6,3,7,3,6,3,5,5,3,6,5,6,3,5,5,5,5,3,5,5,5,6,5,6,6,6,3,5,5,5,2,3,3,5,4,3,7,1,3,6,5,5,7,3,7,7,3,6,2,5,3,6,4,7,6,7,7,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pre-change,0,1,Low-to-High,.75340909,0,88,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,.89300001,.85525,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3333335,4,6.6666665,5.1999998,5.181818,4.75,5.1999998,3.8181818,4,4.5,4.5,4,6,0,.66666669,0,0,.73000002,.90375,,,,.107,.163625,.89300001,.836375,.107,.163625,.67500001,.91000003,.17374998,.23500001,.17374998,.23500001,-.17374998,0,143.09,8.5853996,0,1.4,19.4,8.0158329,6.3183331,14.334167,.84583336,.14475,1.6974998,11.945,6.05125,5.8937497,-5.8937497,7.3249998,5.8150001,1.5099998,-1.5099998,19.27,11.86625,7.4037504,-7.4037504,1,0,0,0,1,0,Low,.76999998,.89999998,Earlier Changes,.83999997,Earlier Changes
3,j9mzf8dd,2018-05-02 15:06:25.925981+00:00,123.5,1,4,169,14,4,Low,8,1,1,0,0,0,1,,,,,14,14,5,4,4,6gnxyx9b,Session 7,Low,,,,0,1,3,3,59,1,0,1,1,20,1,1,7,1,73,1,3,2,2,4,7,7,1,1,0,1,7,7,1,2,6,4,1,3,4,4,5,2,4,5,2,2,6,2,4,6,3,6,5,1,4,4,2,2,1,1,7,4,1,1,4,6,3,7,5,5,6,7,6,6,2,3,7,3,5,4,5,3,6,1,7,6,4,7,4,7,6,4,5,6,4,5,1,1,4,1,1,7,1,7,1,4,1,4,4,4,5,6,6,1,6,7,5,4,7,2,6,5,5,5,5,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,Pre-change,0,1,Low-to-High,.75340909,0,90,2,,1,,,.2857143,0,.14285715,0,0,.2,0,.1,.25,0,.125,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.8333335,4.1111112,5.5555553,5.0999999,5.2727275,6,5.0999999,2.6363637,6,5,6.5,5.5,3.5,0,.66666669,0,0,.9285714,1,,,,.85714287,1,1,,0,,1,1,.071428597,0,.071428597,0,-.071428597,1,123.5,7.4099998,1,9,19,10.291667,5.4166665,15.708333,.95833331,0,4.8750005,13.357142,6,7.3571424,-7.3571424,5.7142859,5,.71428585,-.71428585,19.071428,11,8.0714283,-8.0714283,1,0,0,0,0,,High,.76999998,.89999998,Later Changes,.83999997,Later Changes
